QUDTarget,statementFirst,treatment,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
second,first,avoidance,Ceflar,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,second,observation,Ceflar,Agoriv,I was surprised to see Ceflar in yesterday's sample.,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,second,avoidance,Ceflar,Agoriv,I am surprised that you think Ceflar should be removed from the samples.,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,second,observation,Ceflar,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,second,avoidance,Ceflar,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,first,observation,Ceflar,Agoriv,I was surprised to see Ceflar in yesterday's sample.,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,first,avoidance,Ceflar,Agoriv,I am surprised that you think Ceflar should be removed from the samples.,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,first,observation,Ceflar,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,first,avoidance,Ceflar,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,second,observation,Ceflar,Agoriv,I was surprised to see Ceflar in yesterday's sample.,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,second,avoidance,Ceflar,Agoriv,I am surprised that you think Ceflar should be removed from the samples.,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,second,observation,Ceflar,Agoriv,I was surprised to see Agoriv in yesterday's sample.,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,second,avoidance,Ceflar,Agoriv,I am surprised that you think Agoriv should be removed from the samples.,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
